id,x,y,d,t,s,r,o,h,k,j,m,b,v,f,p,c
266880,41.28511838,-72.9796819,14878944,20:43,A,4.0,Dalton Street,,['Pedestrian'],E,0,,False,False,1,0
266880,41.28511838,-72.9796819,14878944,20:43,A,4.0,Dalton Street,,['Pedestrian'],W,0,,False,False,1,0
269199,41.265123,-72.952306,14862528,07:33,K,4.0,11 BASSETT ST - PKG LOT,,['Pedestrian'],,0,1.0,False,False,1,0
270793,41.327351,-72.933042,14888448,17:30,A,4.0,SHELTON AVE,THOMPSON ST,['Pedestrian'],N,0,25.0,False,False,1,0
275056,41.309264,-72.927241,14781312,16:43,A,4.0,COLLEGE ST,,['Pedestrian'],S,0,25.0,,True,1,0
277471,41.319029,-72.949055,14903136,07:14,A,3.0,ELLA T GRASSO BLVD,WHALLEY AVE(LOCAL),['Bicyclist'],E,0,,False,True,0,1
277471,41.319029,-72.949055,14903136,07:14,A,3.0,ELLA T GRASSO BLVD,WHALLEY AVE(LOCAL),['Bicyclist'],N,0,,False,True,0,1
279123,41.301703,-72.950911,14910912,12:45,K,3.0,800 ELLA T GRASSO BLVD,,['Bicyclist'],S,0,35.0,False,False,0,1
279123,41.301703,-72.950911,14910912,12:45,K,3.0,800 ELLA T GRASSO BLVD,,['Bicyclist'],S,0,35.0,True,False,0,1
283614,41.313343,-72.909282,14921280,23:05,A,4.0,EAST STREET,HUMPHREY ST,['Pedestrian'],W,0,25.0,True,False,1,0
284167,41.304258,-72.930971,14917824,20:01,A,4.0,NORTH FRONTAGE ROAD,COLLEGE ST,['Pedestrian'],S,0,25.0,False,False,1,0
284167,41.304258,-72.930971,14917824,20:01,A,4.0,NORTH FRONTAGE ROAD,COLLEGE ST,['Pedestrian'],W,97,25.0,False,False,1,0
285054,41.321234,-72.952237,14923008,21:08,A,3.0,WHALLEY AVE,,['Pedestrian'],E,0,25.0,False,True,1,0
286443,41.310606,-72.940366,14930784,15:21,A,4.0,CHAPEL ST,KENSINGTON ST,['Pedestrian'],,0,25.0,True,False,1,0
287778,41.320248,-72.950769,14615424,21:39,A,3.0,543 WHALLEY AVE,HOBART ST(ONE-WAY SB),['Pedestrian'],W,0,25.0,False,False,1,0
288734,41.320741,-72.865697,14807232,20:39,K,3.0,FOXON RD,,['Pedestrian'],W,0,35.0,True,,1,0
288873,41.322144,-72.949662,14933376,16:08,A,4.0,1572 ELLA T GRASSO BLVD,ANITA ST,['Pedestrian'],N,0,,False,False,1,0
288873,41.322144,-72.949662,14933376,16:08,A,4.0,1572 ELLA T GRASSO BLVD,ANITA ST,['Pedestrian'],,0,,False,False,1,0
289506,41.314399,-72.940752,14934240,19:44,A,4.0,ELM ST,,['Bicyclist' 'Driver'],W,0,,False,False,0,1
289506,41.314399,-72.940752,14934240,19:44,A,4.0,ELM ST,,['Bicyclist' 'Driver'],E,0,,False,False,0,1
292131,41.303535,-72.910433,14937696,11:34,A,4.0,EAST ST,CHAPEL ST,['Bicyclist'],S,0,,False,False,0,1
292131,41.303535,-72.910433,14937696,11:34,A,4.0,EAST ST,CHAPEL ST,['Bicyclist'],W,97,,False,False,0,1
292131,41.303535,-72.910433,14937696,11:34,A,4.0,EAST ST,CHAPEL ST,['Bicyclist'],W,97,,False,False,0,1
293726,41.308891,-72.933524,14941152,02:29,A,4.0,PARK ST,CHAPEL ST,['Pedestrian'],S,0,25.0,False,False,1,0
298846,41.310606,-72.896951,14961888,17:00,A,4.0,CLAY ST,,['Pedestrian'],E,0,25.0,False,False,1,0
303188,41.331801,-72.935215,14971392,01:55,A,4.0,DIXWELL AVE,WILLIS ST,['Pedestrian'],N,0,35.0,False,True,1,0
304568,41.318978,-72.899168,14976576,11:47,A,2.0,STATE ST,unknown,['Bicyclist'],N,0,,False,False,0,1
304568,41.318978,-72.899168,14976576,11:47,A,2.0,STATE ST,unknown,['Bicyclist'],N,0,,False,False,0,1
